//List of Colors Used (Not Game file, only help for developers)


0,0,0		= Reserved
192,56,116	= Afghanistan
173,141,87 	= Alaska
110,117,123	= New England
86,24,157	= Texas
55,255,114	= US Mainland
159,38,73	= Hawaii
165,106,88	= Brazil
137,98,36	= California
206,166,28	= Canada
26,168,203	= Quebec
145,108,248	= Mexico
4,127,57	= Cuba
136,147,59	= Guatemala
208,176,64	= Belize
176,208,199	= El Salvador
16,239,64	= Honduras
16,112,128	= Nicaragua
239,144,220	= Costa Rica
128,192,16	= Panama
0,64,144	= Colombia
176,240,128	= Venezuela
96,0,240	= Santa Cruz
239,48,1	= Zulia
16,128,208	= Patagonia
137,83,181	= Sul
160,192,17	= Nordeste
224,128,144	= Amazonia
192,192,208	= Guyana
160,128,17	= Suriname
128,192,80	= French Guiana
192,0,80	= Ecuador
32,128,112	= Chile
205,31,230	= Paraguay
160,192,240	= Bolivia
128,128,208	= Peru
176,192,17	= Argentina
68,159,6	= Uruguay
48,32,208	= Falklands
181,16,12	= South Georgia and the South Sandwich Islands
12,181,86	= Ascension Island
12,78,181	= Saint Helena
181,118,12	= Tristan da Cunha
198,198,99	= Haiti
135,127,144	= Dominican Republic
114,192,114	= Bahamas
22,158,45	= Bermudas
112,112,184	= Jamaica
122,111,163	= Turks and Caicos
176,112,128	= Puerto Rico
48,240,128	= US Virgin Islands
96,96,96	= UK Virgin Islands
236,192,97	= Anguilla
48,32,159	= Saint Barthélemy
140,98,146	= Saint Martin
192,16,32	= Sint Maarten
128,32,192	= Saint-Pierre and Miquelon
137,51,122	= Saint Kitts and Nevis
137,51,77	= Antigua and Barbuda
51,83,137	= Montserrat
51,137,91	= Guadeloupe
112,240,1	= Dominica
156,82,202	= Martinique
82,153,202	= Saint Lucia
68,108,99	= Saint Vincent and the Grenadines
68,91,108	= Barbados
240,240,1	= Granada
112,112,128	= Trinidad and Tobago
176,48,128	= Curacao
96,101,78	= Aruba
101,0,78	= Bonaire
49,150,138	= Greenland
128,64,64	= Iceland
50,150,50	= Norway
248,228,0	= Sweden
224,65,97	= Finland
16,160,63	= Aland
32,160,64	= Wales
96,224,64	= Ireland
160,96,64	= Northern Ireland
160,224,0	= Scotland
224,32,64	= England
19,114,99	= Isle of Man
139,119,144	= Faroe Islands
176,224,127	= Guernsey
183,142,84	= Jersey
48,224,128	= France
112,0,96	= Burgundy
85,96,126	= Brittany
16,96,128	= Occitania
208,128,96	= Switzerland
144,160,64	= Normandy
239,64,32	= Corsica
176,192,96	= Provence
112,1,32	= Monaco
176,192,161	= Vatican
208,128,224	= Italy
